ie,municipality,precinct,total,voted,invalid,АА / A,ВМРО - ДПМНЕ и други,ГДУ,ГЛАС ЗА МАКЕДОНИЈА,ДЕМОКРАТИ,ДПА,ДУИ,ЕДИНСТВЕНА МАКЕДОНИЈА,ИНТЕГРА,КОАЛИЦИЈА МОЖЕМЕ,ЛЕВИЦА,МОРО,НП НА РОМИТЕ,СДУ,ТВОЈА
1,АЕРОДРОМ,2673,782.0,436.0,13,0,159,0,6,1,0,2,1,8,188,51,0,0,1,7
1,АЕРОДРОМ,2674,977.0,544.0,20,2,204,0,6,1,0,3,1,14,227,54,5,0,4,6
1,АЕРОДРОМ,2675,730.0,367.0,16,4,149,0,4,0,0,0,1,9,127,52,2,0,5,2
1,АЕРОДРОМ,2676,662.0,366.0,6,2,123,4,3,1,0,2,1,8,185,31,0,0,0,0
1,АЕРОДРОМ,2677,635.0,289.0,6,0,112,2,1,1,0,0,5,7,121,26,0,0,0,8
1,АЕРОДРОМ,2678,1143.0,567.0,19,0,195,4,6,0,1,1,0,6,269,65,2,0,2,6
1,АЕРОДРОМ,2679,462.0,238.0,4,0,106,0,1,0,0,0,0,4,99,23,0,0,1,1
1,АЕРОДРОМ,2679/1,490.0,250.0,10,0,109,0,2,0,0,0,0,3,90,31,2,0,1,2
1,АЕРОДРОМ,2680,571.0,299.0,6,0,127,3,0,0,0,1,0,7,118,31,2,0,7,0
1,АЕРОДРОМ,2680/1,500.0,267.0,5,0,132,0,0,0,0,0,2,2,107,19,0,0,1,1
1,АЕРОДРОМ,2681,1095.0,558.0,18,0,252,0,4,0,0,3,5,19,190,58,1,0,5,3
1,АЕРОДРОМ,2682,681.0,339.0,7,3,137,1,3,0,1,2,1,5,129,46,1,0,2,3
1,АЕРОДРОМ,2682/1,542.0,267.0,12,0,104,1,1,0,0,0,1,4,101,43,1,0,1,2
1,АЕРОДРОМ,2683,905.0,483.0,8,0,179,0,2,0,1,0,3,13,193,75,1,0,2,6
1,АЕРОДРОМ,2683/1,671.0,367.0,10,0,132,0,1,0,0,0,0,5,175,42,0,0,2,1
