ie,municip,precinct,total,voted
1,АЕРОДРОМ,2719/1,860,414
1,АЕРОДРОМ,2720/1,514,270
1,АЕРОДРОМ,2721/1,545,305
1,АЕРОДРОМ,2673,782,436
1,АЕРОДРОМ,2674,977,544
1,АЕРОДРОМ,2675,730,367
1,АЕРОДРОМ,2676,662,366
1,АЕРОДРОМ,2677,635,289
1,АЕРОДРОМ,2678,1143,567
1,АЕРОДРОМ,2679,462,238
1,АЕРОДРОМ,2680,571,299
1,АЕРОДРОМ,2681,1095,558
1,АЕРОДРОМ,2682,681,339
1,АЕРОДРОМ,2683,905,483
1,АЕРОДРОМ,2684,706,366
1,АЕРОДРОМ,2685,649,328
1,АЕРОДРОМ,2686,570,303
1,АЕРОДРОМ,2687,543,266
1,АЕРОДРОМ,2688,633,317
1,АЕРОДРОМ,2689,505,276
1,АЕРОДРОМ,2690,771,405
1,АЕРОДРОМ,2691,499,271
1,АЕРОДРОМ,2692,874,439
1,АЕРОДРОМ,2693,634,351
1,АЕРОДРОМ,2694,832,471
1,АЕРОДРОМ,2695,627,360
1,АЕРОДРОМ,2696,667,362
1,АЕРОДРОМ,2697,716,382
1,АЕРОДРОМ,2698,619,361
1,АЕРОДРОМ,2699,575,334
1,АЕРОДРОМ,2700,884,478
1,АЕРОДРОМ,2701,566,317
1,АЕРОДРОМ,2702,840,427
1,АЕРОДРОМ,2703,916,419
1,АЕРОДРОМ,2704,876,428
1,АЕРОДРОМ,2705,660,343
1,АЕРОДРОМ,2706,655,290
1,АЕРОДРОМ,2707,562,298
1,АЕРОДРОМ,2708,997,508
1,АЕРОДРОМ,2709,902,415
1,АЕРОДРОМ,2710,891,489
1,АЕРОДРОМ,2711,1006,503
1,АЕРОДРОМ,2712,966,481
1,АЕРОДРОМ,2713,1030,512
1,АЕРОДРОМ,2714,705,394
1,АЕРОДРОМ,2715,619,345
1,АЕРОДРОМ,2716,588,351
1,АЕРОДРОМ,2717,492,226
1,АЕРОДРОМ,2718,981,530
1,АЕРОДРОМ,2719,803,400
1,АЕРОДРОМ,2720,521,255
1,АЕРОДРОМ,2721,513,296
1,АЕРОДРОМ,2722,896,477
1,АЕРОДРОМ,2723,910,508
1,АЕРОДРОМ,2724,547,328
1,АЕРОДРОМ,2725,702,339
1,АЕРОДРОМ,2726,539,253
1,АЕРОДРОМ,2727,863,487
1,АЕРОДРОМ,2728,646,275
1,АЕРОДРОМ,2729,135,63
1,АЕРОДРОМ,2730,630,328
1,АЕРОДРОМ,2731,815,413
1,АЕРОДРОМ,2732,733,335
1,АЕРОДРОМ,2733,502,252
1,АЕРОДРОМ,2734,905,432
1,АЕРОДРОМ,2735,799,503
1,АЕРОДРОМ,2736,949,549
1,АЕРОДРОМ,2737,852,500
1,АЕРОДРОМ,2738,804,457
1,АЕРОДРОМ,2679/1,490,250
1,АЕРОДРОМ,2680/1,500,267
1,АЕРОДРОМ,2682/1,542,267
1,АЕРОДРОМ,2683/1,671,367
1,АЕРОДРОМ,2684/1,799,421
1,АЕРОДРОМ,2714/1,894,471
1,АЕРОДРОМ,2715/1,629,385
1,АЕРОДРОМ,2716/1,591,366
1,АЕРОДРОМ,2717/1,513,251
1,АЕРОДРОМ,2730/1,509,265
1,АЕРОДРОМ,2732/1,906,416
1,АЕРОДРОМ,2733/1,665,376
1,АЕРОДРОМ,2752,667,335
1,АЕРОДРОМ,2753,1053,590
1,АЕРОДРОМ,2754,702,360
1,АЕРОДРОМ,2755,652,319
1,АЕРОДРОМ,2756,719,379
1,АЕРОДРОМ,2757,534,300
1,АЕРОДРОМ,2758,562,314
1,АЕРОДРОМ,2759,622,319
1,АЕРОДРОМ,2760,918,498
1,АЕРОДРОМ,2772,620,335
1,АЕРОДРОМ,2773,990,546
1,АЕРОДРОМ,2772/1,537,328
1,АЕРОДРОМ,ЗРД-0094,58,0
1,КАРПОШ,2592,905,508
1,КАРПОШ,2593,668,352
1,КАРПОШ,2594,960,522
1,КАРПОШ,2595,887,491
1,КАРПОШ,2596,877,464
1,КАРПОШ,2597,472,257
1,КАРПОШ,2598,931,474
1,КАРПОШ,2599,985,540
1,КАРПОШ,2600,923,495
1,КАРПОШ,2601,577,324
1,КАРПОШ,2602,800,470
1,КАРПОШ,2603,904,509
1,КАРПОШ,2604,405,233
1,КАРПОШ,2605,719,349
1,КАРПОШ,2606,792,462
1,КАРПОШ,2607,694,395
1,КАРПОШ,2608,554,304
1,КАРПОШ,2609,869,440
1,КАРПОШ,2610,832,445
1,КАРПОШ,2611,889,484
1,КАРПОШ,2612,860,455
1,КАРПОШ,2613,863,443
1,КАРПОШ,2614,613,312
1,КАРПОШ,2615,885,467
1,КАРПОШ,2616,959,464
1,КАРПОШ,2617,641,343
1,КАРПОШ,2618,654,349
1,КАРПОШ,2619,503,289
1,КАРПОШ,2620,966,470
1,КАРПОШ,2621,152,84
1,КАРПОШ,2622,624,341
1,КАРПОШ,2623,773,400
1,КАРПОШ,2624,810,445
1,КАРПОШ,2625,653,349
1,КАРПОШ,2626,623,372
1,КАРПОШ,2627,629,319
1,КАРПОШ,2628,758,384
1,КАРПОШ,2629,625,321
1,КАРПОШ,2630,492,222
1,КАРПОШ,2631,756,380
1,КАРПОШ,2632,729,391
1,КАРПОШ,2633,728,403
1,КАРПОШ,2634,752,363
1,КАРПОШ,2635,940,502
1,КАРПОШ,2636,937,467
